0,120.03,6.33
6,120.03,6.33
9,121.77,7.26
12,121,8
15,119.82,7.51
18,118.31,6.92
21,117.28,7.09
24,116.33,7.65
27,115.51,8.13
30,114.75,9.39
33,114.05,10.17
36,113.29,10.22
39,112.88,11.16
42,112.55,12.05
45,112.94,13.1
48,112.52,14.02
51,111.9,14.58
54,112.29,15.5
57,112.78,16.55
60,113.4,17.52
63,113.83,18.5
66,114.7,19.13
69,115.01,19.79
72,114.19,19.69
75,113.55,18.99
78,112.84,19.04
81,112.17,19.98
84,112.09,21.1
87,111.85,21.64
90,111.13,21.11
93,110.16,21.03
96,109.75,21.76
99,110.03,22.53
102,110.4,22.84
105,110.68,22.9
108,110.99,21.89
111,111.05,20.16
114,111.09,19.06
117,110.8,18.19
120,110.42,17.5
123,110.31,16.41
126,110.28,14.91
129,110.26,13.66
132,109.76,12.22
135,109.37,11.08
138,109.14,9.68
141,108.54,9.01
144,107.37,8.46
147,106.18,8.08
150,105.14,8.04
153,104.06,8.29
156,102.83,8.01
159,102.2,6.79
162,101.82,5.77
165,101.31,5.39
168,101.06,3.93
171,100.77,2.98
174,100.07,2.58
177,99.24,2.87
180,98.08,2.32
183,96.94,2.2
186,95.96,2.16
189,95.12,2.07
192,94.57,0.45
195,93.94,-0.65
198,93.1,-1.27
201,92,-1.22
204,90.47,-0.77
207,89.17,-0.68
210,88.63,0.03
213,88.93,0.24
216,88.96,-0.93
219,88.53,-1.73
222,88.23,-1.8
225,88.48,-1.97
228,88.01,-3.24
231,87.91,-4.11
234,88.41,-3.98
237,88.82,-3.76
240,88.79,-4.71
243,88.83,-5.74
246,89.28,-5.59
249,89.7,-5.52
252,89.69,-6.54
255,89.4,-7.71
258,89.28,-7.87
261,89.42,-7.74
264,88.88,-7.82
267,89.32,-8.42
270,89.45,-8.76
273,89.63,-9.8
276,89.81,-10.44
279,89.71,-10.13
282,89.69,-9.61
285,90.27,-9.69
288,91.24,-11.44
291,90.67,-11.59
294,90.45,-11.26
297,91.23,-11.86
300,91.82,-12.42
303,91.97,-12.87
306,91.59,-12.93
309,91.11,-13.68
312,90.85,-15.05
315,90.88,-15.81
318,91.45,-16.28
321,91.91,-16.99
324,91.66,-18.11
327,91.6,-19.35
330,91.54,-20.3
333,91.94,-20.22
336,92.26,-20.19
